date,gross_reserves_usd_m,scenario
2026-01-01,6573.560518092945,Baseline
2026-02-01,6742.4186969974435,Baseline
2026-03-01,6673.034297216984,Baseline
2026-04-01,6720.84932664994,Baseline
2026-05-01,6705.775959471492,Baseline
2026-06-01,6723.229178615285,Baseline
2026-07-01,6723.312591137449,Baseline
2026-08-01,6732.558675767657,Baseline
2026-09-01,6736.898201260978,Baseline
2026-10-01,6743.851516585792,Baseline
2026-11-01,6749.399876653936,Baseline
2026-12-01,6755.7005084321945,Baseline
2026-01-01,6573.560518092945,LKR Depreciation 10%
2026-02-01,6725.168576187008,LKR Depreciation 10%
2026-03-01,6643.488276483033,LKR Depreciation 10%
2026-04-01,6675.45826045015,LKR Depreciation 10%
2026-05-01,6646.117709111327,LKR Depreciation 10%
2026-06-01,6648.395461685442,LKR Depreciation 10%
2026-07-01,6633.762643435478,LKR Depreciation 10%
2026-08-01,6628.045664942854,LKR Depreciation 10%
2026-09-01,6617.556254291221,LKR Depreciation 10%
2026-10-01,6609.612974032223,LKR Depreciation 10%
2026-11-01,6600.305170551067,LKR Depreciation 10%
2026-12-01,6591.7317865419955,LKR Depreciation 10%
2026-01-01,6573.560518092945,LKR Depreciation 20%
2026-02-01,6707.918455376573,LKR Depreciation 20%
2026-03-01,6613.942255749082,LKR Depreciation 20%
2026-04-01,6630.06719425036,LKR Depreciation 20%
2026-05-01,6586.459458751161,LKR Depreciation 20%
2026-06-01,6573.561744755599,LKR Depreciation 20%
2026-07-01,6544.212695733508,LKR Depreciation 20%
2026-08-01,6523.532654118051,LKR Depreciation 20%
2026-09-01,6498.214307321465,LKR Depreciation 20%
2026-10-01,6475.374431478656,LKR Depreciation 20%
2026-11-01,6451.210464448197,LKR Depreciation 20%
2026-12-01,6427.763064651797,LKR Depreciation 20%
2026-01-01,6573.560518092945,Export Shock (-15%)
2026-02-01,6738.5316542443115,Export Shock (-15%)
2026-03-01,6666.3747247927,Export Shock (-15%)
2026-04-01,6710.61634908945,Export Shock (-15%)
2026-05-01,6692.32371937257,Export Shock (-15%)
2026-06-01,6706.3519202543575,Export Shock (-15%)
2026-07-01,6703.1127283472115,Export Shock (-15%)
2026-08-01,6708.979692937956,Export Shock (-15%)
2026-09-01,6709.969507221323,Export Shock (-15%)
2026-10-01,6713.557167078154,Export Shock (-15%)
2026-11-01,6715.74836743481,Export Shock (-15%)
2026-12-01,6718.68728828073,Export Shock (-15%)
2026-01-01,6573.560518092945,Remittance Decline (-20%)
2026-02-01,6742.4186969974435,Remittance Decline (-20%)
2026-03-01,6673.034297216984,Remittance Decline (-20%)
2026-04-01,6720.84932664994,Remittance Decline (-20%)
2026-05-01,6705.775959471492,Remittance Decline (-20%)
2026-06-01,6723.229178615285,Remittance Decline (-20%)
2026-07-01,6723.312591137449,Remittance Decline (-20%)
2026-08-01,6732.558675767657,Remittance Decline (-20%)
2026-09-01,6736.898201260978,Remittance Decline (-20%)
2026-10-01,6743.851516585792,Remittance Decline (-20%)
2026-11-01,6749.399876653936,Remittance Decline (-20%)
2026-12-01,6755.7005084321945,Remittance Decline (-20%)
2026-01-01,6573.560518092945,Tourism Recovery (+25%)
2026-02-01,6742.4186969974435,Tourism Recovery (+25%)
2026-03-01,6673.034297216984,Tourism Recovery (+25%)
2026-04-01,6720.84932664994,Tourism Recovery (+25%)
2026-05-01,6705.775959471492,Tourism Recovery (+25%)
2026-06-01,6723.229178615285,Tourism Recovery (+25%)
2026-07-01,6723.312591137449,Tourism Recovery (+25%)
2026-08-01,6732.558675767657,Tourism Recovery (+25%)
2026-09-01,6736.898201260978,Tourism Recovery (+25%)
2026-10-01,6743.851516585792,Tourism Recovery (+25%)
2026-11-01,6749.399876653936,Tourism Recovery (+25%)
2026-12-01,6755.7005084321945,Tourism Recovery (+25%)
2026-01-01,6573.560518092945,Oil Price Shock
2026-02-01,6739.179494703167,Oil Price Shock
2026-03-01,6667.48465353008,Oil Price Shock
2026-04-01,6712.321845349532,Oil Price Shock
2026-05-01,6694.565759389056,Oil Price Shock
2026-06-01,6709.164796647846,Oil Price Shock
2026-07-01,6706.479372145584,Oil Price Shock
2026-08-01,6712.909523409573,Oil Price Shock
2026-09-01,6714.457622894598,Oil Price Shock
2026-10-01,6718.606225329427,Oil Price Shock
2026-11-01,6721.356952304664,Oil Price Shock
2026-12-01,6724.8561583059745,Oil Price Shock
2026-01-01,6573.560518092945,IMF Tranche Delay
2026-02-01,6728.618600349095,IMF Tranche Delay
2026-03-01,6649.397480629823,IMF Tranche Delay
2026-04-01,6684.536473690108,IMF Tranche Delay
2026-05-01,6658.049359183359,IMF Tranche Delay
2026-06-01,6663.36220507141,IMF Tranche Delay
2026-07-01,6651.672632975872,IMF Tranche Delay
2026-08-01,6648.948267107815,IMF Tranche Delay
2026-09-01,6641.424643685173,IMF Tranche Delay
2026-10-01,6636.460682542937,IMF Tranche Delay
2026-11-01,6630.124111771641,IMF Tranche Delay
2026-12-01,6624.525530920036,IMF Tranche Delay
2026-01-01,6573.560518092945,Combined Adverse
2026-02-01,6716.54351578179,Combined Adverse
2026-03-01,6628.715266116057,Combined Adverse
2026-04-01,6652.762727350255,Combined Adverse
2026-05-01,6616.288583931244,Combined Adverse
2026-06-01,6610.97860322052,Combined Adverse
2026-07-01,6588.987669584492,Combined Adverse
2026-08-01,6575.789159530453,Combined Adverse
2026-09-01,6557.885280806343,Combined Adverse
2026-10-01,6542.49370275544,Combined Adverse
2026-11-01,6525.757817499632,Combined Adverse
2026-12-01,6509.747425596897,Combined Adverse
2026-01-01,6573.560518092945,Combined Upside
2026-02-01,6751.043757402661,Combined Upside
2026-03-01,6687.807307583959,Combined Upside
2026-04-01,6743.544859749835,Combined Upside
2026-05-01,6735.6050846515745,Combined Upside
2026-06-01,6760.646037080206,Combined Upside
2026-07-01,6768.087564988435,Combined Upside
2026-08-01,6784.815181180059,Combined Upside
2026-09-01,6796.569174745856,Combined Upside
2026-10-01,6810.970787862575,Combined Upside
2026-11-01,6823.947229705372,Combined Upside
2026-12-01,6837.684869377294,Combined Upside
